SubmissionDate,meta-instanceID,cassava_image_class,cassava_plant_age,cassava_variety,district,subcounty_luweero,subcounty_naka,subcounty_bugiri,subcounty_kamuli,subcounty_nebbi,subcounty_koboko,subcounty_pakwach,cassava_image_1,cassava_image_2,cassava_image_3,cassava_image_4,cassava_image_5,cassava_image_6,cassava_image_7,cassava_image_8,cassava_image_9,cassava_image_10,cassava_comment,cassava_image_gps-Latitude,cassava_image_gps-Longitude,cassava_image_gps-Altitude,cassava_image_gps-Accuracy,phone_ID,start_time,end_time,submission_time,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Subcounty,days
2021-04-08 09:01:12.431000+00:00,uuid:0f07c2d8-4051-420a-a553-8ee81049f583,cbsd,7,tme 204,kamuli,,,,kitayumdwa,,,,1617091943616.jpg,1617091966032.jpg,1617091994692.jpg,1617092004563.jpg,1617092028021.jpg,1617092057777.jpg,1617092070648.jpg,1617092090711.jpg,1617092136267.jpg,1617092154567.jpg,Kamuli kitayunjwa,0.92594,33.191832,1080.495578975621,4.288,collect:8Yz1n1MPZ2L6upM3,2021-03-30 11:09:10.800000+03:00,2021-03-30 11:16:19.646000+03:00,2021-03-30,fd4e843c471da9155ccb60e56e10a1685d49f190,15,User_Okao,10,10,kitayumdwa,2021-03-30
2021-04-08 09:01:05.638000+00:00,uuid:8834e106-cfdd-401c-aea0-2d5aa180f780,cbsd,7,tme 204,kamuli,,,,kitayumdwa,,,,1617091479173.jpg,1617091496977.jpg,1617091536781.jpg,1617091553348.jpg,1617091566710.jpg,1617091589507.jpg,1617091636604.jpg,1617091661026.jpg,1617091685452.jpg,1617091703959.jpg,Kamuli kitayunjwa,0.9259699,33.1917892,1071.2002495873885,4.938,collect:8Yz1n1MPZ2L6upM3,2021-03-30 11:03:52.703000+03:00,2021-03-30 11:08:57.111000+03:00,2021-03-30,113d4e34f1892f78724d6092527cb77cc5986593,15,User_Okao,10,10,kitayumdwa,2021-03-30
2021-04-08 09:00:59.207000+00:00,uuid:51509796-7f32-48a2-b0b3-62a44e455c91,cbsd,8,tme 14,koboko,,,,,,Kuluba,,1617003487038.jpg,1617003506038.jpg,1617003530422.jpg,1617003606241.jpg,1617003653312.jpg,1617003762788.jpg,1617003780695.jpg,1617003839953.jpg,1617003899309.jpg,1617003989203.jpg,Cbsd,3.6082655,30.9481654,1000.4840171116972,4.775,collect:8Yz1n1MPZ2L6upM3,2021-03-29 10:37:20.296000+03:00,2021-03-29 10:46:43.254000+03:00,2021-03-29,d32a5dbb1b0bcb4ba98ace969d2d22a0b9153a6c,15,User_Okao,10,10,Kuluba,2021-03-29
2021-04-08 09:00:54.308000+00:00,uuid:7ffe7f2a-4b33-4f28-adb2-d1bff9b10736,healthy,8,tme 14,koboko,,,,,,Kuluba,,1617002141171.jpg,1617002161392.jpg,1617002187813.jpg,1617002245207.jpg,1617002278963.jpg,1617002346984.jpg,1617002362908.jpg,1617002391328.jpg,1617002407511.jpg,1617002441558.jpg,Cmd,3.6153426,30.9537053,1000.3176865739948,4.824,collect:8Yz1n1MPZ2L6upM3,2021-03-29 10:15:00.146000+03:00,2021-03-29 10:20:55.009000+03:00,2021-03-29,e5240c6baf59deb4bd9afa0b084cc7a6958617c1,15,User_Okao,10,10,Kuluba,2021-03-29
2021-04-08 09:00:49.967000+00:00,uuid:dcc2856e-4a06-46ca-a834-6842661a4697,healthy,8,tme 14,koboko,,,,,,Kuluba,,1617001811566.jpg,1617001828369.jpg,1617001840571.jpg,1617001894440.jpg,1617001942539.jpg,1617001954332.jpg,1617001964994.jpg,1617002018228.jpg,1617002032108.jpg,1617002071862.jpg,Clean,3.6152311,30.9536277,1000.3978796348016,4.561,collect:8Yz1n1MPZ2L6upM3,2021-03-29 10:09:15.675000+03:00,2021-03-29 10:14:49.056000+03:00,2021-03-29,884a696d96d121345eb052c6e7c1c9b3e8645428,15,User_Okao,10,10,Kuluba,2021-03-29
2021-04-08 09:00:45.987000+00:00,uuid:6cbab1b2-5b41-460c-9789-c4af6c59df6b,cmd,12,abunguli,koboko,,,,,,Kuluba,,1616997907728.jpg,1616997922113.jpg,1616997936920.jpg,1616997953860.jpg,1616997982183.jpg,1616998002309.jpg,1616998028883.jpg,1616998041861.jpg,1616998064336.jpg,1616998077749.jpg,Cmd,3.5709896,30.9235674,1113.594511047476,4.824,collect:8Yz1n1MPZ2L6upM3,2021-03-29 09:04:23.601000+03:00,2021-03-29 09:08:13.238000+03:00,2021-03-29,465fadd96a4d49ae87032dabc564ce464742d64b,15,User_Okao,10,10,Kuluba,2021-03-29
2021-04-08 09:00:42.492000+00:00,uuid:6f625918-16ad-40a5-878b-deb929c42511,cmd,12,abunguli,koboko,,,,,,Kuluba,,1616997678027.jpg,1616997694680.jpg,1616997712128.jpg,1616997736706.jpg,1616997753462.jpg,1616997767434.jpg,1616997780276.jpg,1616997792300.jpg,1616997819356.jpg,1616997843495.jpg,Cmd,3.5709326,30.9235116,1116.011919310396,4.502,collect:8Yz1n1MPZ2L6upM3,2021-03-29 09:00:31.092000+03:00,2021-03-29 09:04:17.876000+03:00,2021-03-29,d59fc31a7f3fa76f1664744f6bb21cc0b333ac8b,15,User_Okao,10,10,Kuluba,2021-03-29
2021-04-08 09:00:39.007000+00:00,uuid:d479c1a7-d474-47c5-a6fc-43808b1d4757,cmd,12,mingoro,koboko,,,,,,Kuluba,,1616997469576.jpg,1616997486647.jpg,1616997495791.jpg,1616997509626.jpg,1616997524937.jpg,1616997535549.jpg,1616997552847.jpg,1616997570789.jpg,1616997585643.jpg,1616997614351.jpg,Cmd,3.5709301,30.923486,1116.0741969285189,4.824,collect:8Yz1n1MPZ2L6upM3,2021-03-29 08:57:18.576000+03:00,2021-03-29 09:00:24.267000+03:00,2021-03-29,0dd6dc379a6f64e0224ac68a64c21cbe1591f6e1,15,User_Okao,10,10,Kuluba,2021-03-29
2021-04-08 09:00:35.637000+00:00,uuid:eadac3f8-4a02-4b0b-a410-17300e6d65e2,cmd,12,mingoro,koboko,,,,,,Kuluba,,1616997259210.jpg,1616997283476.jpg,1616997302963.jpg,1616997316259.jpg,1616997342928.jpg,1616997356591.jpg,1616997369747.jpg,1616997390307.jpg,1616997406635.jpg,1616997420384.jpg,Cmd,3.5709,30.9234819,1111.4496611756765,4.347,collect:8Yz1n1MPZ2L6upM3,2021-03-29 08:51:55.856000+03:00,2021-03-29 08:57:15.122000+03:00,2021-03-29,4e5117de4063f16d6118603db4cae846d668455d,15,User_Okao,10,10,Kuluba,2021-03-29
2021-04-08 09:00:30.193000+00:00,uuid:03127a70-dcf9-4042-8d51-3d4934d847d0,cmd,7,nyapamitu,pakwach,,,,,,,Wadelai,1616925170335.jpg,1616925187112.jpg,1616925235204.jpg,1616925252575.jpg,1616925271461.jpg,1616925318254.jpg,1616925337671.jpg,1616925358400.jpg,1616925389070.jpg,1616925507999.jpg,Cmd,2.7646722,31.3469652,640.1530667725598,4.368,collect:8Yz1n1MPZ2L6upM3,2021-03-28 12:51:46.045000+03:00,2021-03-28 15:42:26.164000+03:00,2021-03-28,d37d241091827850976734a85329b7cbb6bfc41f,15,User_Okao,10,10,Wadelai,2021-03-28
2021-04-08 08:59:35.999000+00:00,uuid:c4128408-abaa-4141-a462-2167b62d7965,cmd,7,nyapamitu,pakwach,,,,,,,Wadelai,1616924821374.jpg,1616924837244.jpg,1616924848072.jpg,1616924862259.jpg,1616924876167.jpg,1616924890105.jpg,1616924927344.jpg,1616924955891.jpg,1616924994066.jpg,1616925025423.jpg,Cmd,2.7641208,31.3473491,644.9294792347911,4.43,collect:8Yz1n1MPZ2L6upM3,2021-03-28 12:46:26.637000+03:00,2021-03-28 15:42:35.221000+03:00,2021-03-28,8729232646e1c9c32720c288b66092f78347098a,15,User_Okao,10,10,Wadelai,2021-03-28
2021-04-08 08:58:34.663000+00:00,uuid:7e4e2422-0575-4f47-b091-f9cbc44c4453,cmd,10,ochola,pakwach,,,,,,,Wadelai,1616921415136.jpg,1616921453617.jpg,1616921474821.jpg,1616921503485.jpg,1616921531504.jpg,1616921589337.jpg,1616921620715.jpg,1616921636397.jpg,1616921653939.jpg,1616921669955.jpg,Cnd,2.7028944,31.376304,625.1687347472501,3.763,collect:8Yz1n1MPZ2L6upM3,2021-03-28 11:49:29.297000+03:00,2021-03-28 15:42:44.301000+03:00,2021-03-28,99ef7a740275e54d7a8539c17742c8a2a6671686,15,User_Okao,10,10,Wadelai,2021-03-28
2021-04-08 08:57:35.984000+00:00,uuid:cea38e0f-f233-477c-acfb-4b796d65d09b,cmd,10,ochola,pakwach,,,,,,,Wadelai,1616921121749.jpg,1616921156394.jpg,1616921183746.jpg,1616921197141.jpg,1616921210503.jpg,1616921234071.jpg,1616921260623.jpg,1616921296011.jpg,1616921317047.jpg,1616921338696.jpg,Cmd,2.7029416,31.3762743,617.6846235567565,4.995,collect:8Yz1n1MPZ2L6upM3,2021-03-28 11:44:06.696000+03:00,2021-03-28 15:42:51.572000+03:00,2021-03-28,4fb1eb3df2295eeb11e9753f268dc5926556c387,15,User_Okao,10,10,Wadelai,2021-03-28
2021-04-08 08:56:31.546000+00:00,uuid:6beda38e-6cbb-496a-8db8-3e03ef9e68a0,cmd,10,nyapamitu,pakwach,,,,,,,Wadelai,1616920877828.jpg,1616920902006.jpg,1616920912988.jpg,1616920931039.jpg,1616920954459.jpg,1616920967565.jpg,1616920979852.jpg,1616920998736.jpg,1616921014522.jpg,1616921029275.jpg,Cmd,2.7029313,31.3761747,623.4090672433119,4.873,collect:8Yz1n1MPZ2L6upM3,2021-03-28 11:40:38.859000+03:00,2021-03-28 15:42:58.504000+03:00,2021-03-28,bdaadefd0ce1ab4723c445727d20ca3cc8dc7dbc,15,User_Okao,10,10,Wadelai,2021-03-28
2021-04-08 08:56:02.517000+00:00,uuid:521a7b2c-d7c7-4053-a418-73393b3a4485,cmd,9,ochola,nebbi,,,,,Kucwiny,,,1616911324740.jpg,1616911334555.jpg,1616911347087.jpg,1616911369246.jpg,1616911382265.jpg,1616911426210.jpg,1616911439666.jpg,1616911467254.jpg,1616911488735.jpg,1616911512443.jpg,Alala,2.5223741,31.1648772,923.8548226601308,4.744,collect:8Yz1n1MPZ2L6upM3,2021-03-28 09:01:25.448000+03:00,2021-03-28 15:43:45.760000+03:00,2021-03-28,b55b5d1f0b1c8acfadb3d08b85dec7091a9c877b,15,User_Okao,10,10,Kucwiny,2021-03-28
2021-04-08 08:53:16.769000+00:00,uuid:0ddecf2c-302c-4ed5-b9b9-a25fc0dc9354,cmd,9,ochola,nebbi,,,,,Kucwiny,,,1616911100779.jpg,1616911116835.jpg,1616911130868.jpg,1616911158202.jpg,1616911173315.jpg,1616911190506.jpg,1616911206540.jpg,1616911223515.jpg,1616911242538.jpg,1616911257924.jpg,Alala subcounty,2.5223924,31.16486,922.043222942881,4.873,collect:8Yz1n1MPZ2L6upM3,2021-03-28 08:57:49.448000+03:00,2021-03-28 15:43:56.358000+03:00,2021-03-28,cafd1e383456343fb998acc236ed41cdc04fb726,15,User_Okao,10,10,Kucwiny,2021-03-28
2021-04-08 08:50:08.195000+00:00,uuid:0ce320c4-4454-4691-9967-3e0d8bdd9c1e,cmd,8,ochola,pakwach,,,,,,,Alwi,1616855015934.jpg,1616855027650.jpg,1616855054272.jpg,1616855066522.jpg,1616855084127.jpg,1616855112270.jpg,1616855139055.jpg,1616855155769.jpg,1616855199333.jpg,1616855219509.jpg,Cmd,2.4510245,31.3961465,723.1275635938689,4.99,collect:8Yz1n1MPZ2L6upM3,2021-03-27 17:22:42.048000+03:00,2021-03-28 15:44:07.571000+03:00,2021-03-27,8d91ec248055e008c294361a038bd6a2a7d114f5,15,User_Okao,10,10,Alwi,2021-03-27
2021-04-08 08:48:33.579000+00:00,uuid:60041413-3243-45d3-abdb-6252bd715bb0,cmd,8,ochola,pakwach,,,,,,,Alwi,1616854704237.jpg,1616854724944.jpg,1616854834896.jpg,1616854846370.jpg,1616854867740.jpg,1616854878668.jpg,1616854896555.jpg,1616854915697.jpg,1616854931599.jpg,1616854944500.jpg,Cmd,2.4509853,31.3961641,716.639216689496,3.655,collect:8Yz1n1MPZ2L6upM3,2021-03-27 17:17:35.829000+03:00,2021-03-28 15:44:19.845000+03:00,2021-03-27,ce36076d0053b0ece2506c4e1341d20dd4331029,15,User_Okao,10,10,Alwi,2021-03-27
2021-04-08 08:45:49.039000+00:00,uuid:6830b9ab-c84a-4cb2-8d15-a8d585b132dc,cmd,8,ochola,pakwach,,,,,,,Alwi,1616854434263.jpg,1616854445539.jpg,1616854460892.jpg,1616854492869.jpg,1616854525893.jpg,1616854555255.jpg,1616854569702.jpg,1616854581702.jpg,1616854598112.jpg,1616854630926.jpg,Cmd,2.4509937,31.3963369,716.3806856354516,4.716,collect:8Yz1n1MPZ2L6upM3,2021-03-27 17:12:08.586000+03:00,2021-03-28 15:44:33+03:00,2021-03-27,3c5b1dfc5ece06081fadbe08cfd0cb11b2d2b272,15,User_Okao,10,10,Alwi,2021-03-27
2021-04-08 08:43:52.488000+00:00,uuid:3a240c27-200e-4760-b5b1-4993dd0d45df,healthy,5,local,pakwach,,,,,,,Alwi,1616851339802.jpg,1616851363765.jpg,1616851396689.jpg,1616851410368.jpg,1616851432613.jpg,1616851456951.jpg,1616851467406.jpg,1616851480285.jpg,1616851509257.jpg,1616851539612.jpg,Clean plants,2.4952478,31.3920457,706.8185134733772,3.729,collect:8Yz1n1MPZ2L6upM3,2021-03-27 16:20:38.252000+03:00,2021-03-28 15:44:46.995000+03:00,2021-03-27,c3d48054479664bbe92576361abd5fbe43067472,15,User_Okao,10,10,Alwi,2021-03-27
2021-04-08 08:43:30.724000+00:00,uuid:91e6ad87-6954-48e1-b0a1-5825b89e4265,cmd,5,ochola,pakwach,,,,,,,Alwi,1616850925741.jpg,1616850948590.jpg,1616850973561.jpg,1616851003522.jpg,1616851028093.jpg,1616851050964.jpg,1616851081593.jpg,1616851099620.jpg,1616851125051.jpg,1616851174213.jpg,Cmd,2.4953588,31.3920317,704.1017931240007,4.727,collect:8Yz1n1MPZ2L6upM3,2021-03-27 16:14:53.906000+03:00,2021-03-28 15:44:57.507000+03:00,2021-03-27,a73c6120f0e061fd48494f585cb361bb60c45809,15,User_Okao,10,10,Alwi,2021-03-27
2021-04-08 08:40:47.647000+00:00,uuid:f99dc1e6-33f7-4dd6-981a-9e3c35fbb4fc,cmd,5,ochola,pakwach,,,,,,,Alwi,1616850723699.jpg,1616850739383.jpg,1616850759988.jpg,1616850779251.jpg,1616850791923.jpg,1616850815348.jpg,1616850827047.jpg,1616850837500.jpg,1616850857429.jpg,1616850869281.jpg,Cmd,2.4954106,31.3920114,711.5225099198109,4.808,collect:8Yz1n1MPZ2L6upM3,2021-03-27 16:11:03.212000+03:00,2021-03-28 15:45:06.846000+03:00,2021-03-27,d17dcc5f4b807b764867ee69d29072435ac7404e,15,User_Okao,10,10,Alwi,2021-03-27
2021-04-08 08:38:28.546000+00:00,uuid:c263e531-0684-43aa-8f4d-f3d4e9f01cff,cbsd,7,tme 14,naka,,Nakitoma,,,,,,1616834335306.jpg,1616834349196.jpg,1616834377823.jpg,1616834389311.jpg,1616834403409.jpg,1616834421288.jpg,1616834441030.jpg,1616834460941.jpg,1616834472270.jpg,1616834489122.jpg,Cbsd,1.5173969,32.0526455,1029.9709957287268,4.824,collect:8Yz1n1MPZ2L6upM3,2021-03-27 11:38:20.011000+03:00,2021-03-28 15:45:15.342000+03:00,2021-03-27,605593935c716bd1565f4a9ef4f1f83b07ca8114,15,User_Okao,10,10,Nakitoma,2021-03-27
2021-04-08 08:36:08.639000+00:00,uuid:3fa627ff-3d97-4f60-a143-876afc92f422,cbsd,7,tme 14,naka,,Nakitoma,,,,,,1616834139348.jpg,1616834156069.jpg,1616834172305.jpg,1616834183024.jpg,1616834203506.jpg,1616834223074.jpg,1616834237869.jpg,1616834251852.jpg,1616834266569.jpg,1616834278025.jpg,Cbsd,1.5173998,32.05263,1036.0036959604115,4.946,collect:8Yz1n1MPZ2L6upM3,2021-03-27 11:35:07.909000+03:00,2021-03-28 15:45:23.448000+03:00,2021-03-27,8124de9e12d881b67e138205030e6b48904f5914,15,User_Okao,10,10,Nakitoma,2021-03-27
2021-04-08 08:34:05.049000+00:00,uuid:7c2ea704-c37b-4d49-b90c-30cb4ba65f4a,cbsd,7,tme 14,naka,,Nakitoma,,,,,,1616833809117.jpg,1616833824954.jpg,1616833868137.jpg,1616833890362.jpg,1616833922996.jpg,1616833934377.jpg,1616833954347.jpg,1616834014138.jpg,1616834057030.jpg,1616834073953.jpg,Cbsd,1.5174392,32.0526686,1034.650124560611,4.516,collect:8Yz1n1MPZ2L6upM3,2021-03-27 11:29:30.781000+03:00,2021-03-28 15:45:32.857000+03:00,2021-03-27,5cf17b45d0a6bfbb84fc7b6fa82be7fc6f91c98b,15,User_Okao,10,10,Nakitoma,2021-03-27
2021-04-08 08:31:56.501000+00:00,uuid:8eaa051d-105b-400c-9eeb-a309433d3214,cbsd,7,tme 14,naka,,Nakitoma,,,,,,1616833582684.jpg,1616833597502.jpg,1616833623320.jpg,1616833634178.jpg,1616833651957.jpg,1616833669822.jpg,1616833689235.jpg,1616833710705.jpg,1616833731820.jpg,1616833754475.jpg,Cbsd,1.5174002,32.0526703,1030.5689395106815,4.288,collect:8Yz1n1MPZ2L6upM3,2021-03-27 11:24:22.716000+03:00,2021-03-28 15:45:44.193000+03:00,2021-03-27,db8f7f649c22b7c5b26b125ad186a895523ba496,15,User_Okao,10,10,Nakitoma,2021-03-27
2021-04-08 08:29:01.656000+00:00,uuid:1dde91e0-34e4-4ddf-8cbe-cc55faa4ba5f,cbsd,7,tme 14,naka,,Nakitoma,,,,,,1616833232939.jpg,1616833247718.jpg,1616833261554.jpg,1616833307340.jpg,1616833338781.jpg,1616833359162.jpg,1616833374101.jpg,1616833400513.jpg,1616833423231.jpg,1616833440030.jpg,Cbsd,1.5174466,32.0526803,1031.4293404311718,4.055,collect:8Yz1n1MPZ2L6upM3,2021-03-27 11:19:57.802000+03:00,2021-03-28 15:45:51.634000+03:00,2021-03-27,bbb323bdf170479a415a7a9914cdc9d459b16178,15,User_Okao,10,10,Nakitoma,2021-03-27
2021-04-08 08:26:54.276000+00:00,uuid:7b599496-6d97-490a-bcf1-7a2f02ab4f68,cmd,12,aladu,naka,,Nakitoma,,,,,,1616830625914.jpg,1616830636468.jpg,1616830647296.jpg,1616830673030.jpg,1616830701884.jpg,1616830721881.jpg,1616830732944.jpg,1616830751844.jpg,1616830762967.jpg,1616830778607.jpg,Cmd,1.5399303,32.052152,1034.4602262231533,4.094,collect:8Yz1n1MPZ2L6upM3,2021-03-27 10:36:38.002000+03:00,2021-03-28 15:45:59.260000+03:00,2021-03-27,4f5816176e973cf8360d30255e6254de62703c55,15,User_Okao,10,10,Nakitoma,2021-03-27
2021-04-08 08:26:31.417000+00:00,uuid:1da0db07-465c-4440-8408-b23cd35673f3,cmd,12,aladu,naka,,Nakitoma,,,,,,1616830419311.jpg,1616830429342.jpg,1616830443609.jpg,1616830471174.jpg,1616830487686.jpg,1616830507479.jpg,1616830526631.jpg,1616830548537.jpg,1616830568050.jpg,1616830583486.jpg,Cmd,1.5399053,32.0521645,1038.2320459168498,3.93,collect:8Yz1n1MPZ2L6upM3,2021-03-27 10:32:51.983000+03:00,2021-03-28 15:46:06.531000+03:00,2021-03-27,8e8ba70963904f0ef34264bce8b80bb2a2d083c3,15,User_Okao,10,10,Nakitoma,2021-03-27
2021-04-08 08:25:48.968000+00:00,uuid:21f78eaf-8096-4a46-963c-f60bfb1ba64e,cmd,9,bao,naka,,Nabiswera,,,,,,1616825018091.jpg,1616825032104.jpg,1616825064116.jpg,1616825089102.jpg,1616825108236.jpg,1616825120159.jpg,1616825129733.jpg,1616825144485.jpg,1616825157492.jpg,1616825175183.jpg,Cmd,1.4499834,32.2666919,1059.8784890399877,4.938,collect:8Yz1n1MPZ2L6upM3,2021-03-27 09:02:16.446000+03:00,2021-03-28 15:46:15.868000+03:00,2021-03-27,282268035a18e73b125158c18dbc3e857295ee65,15,User_Okao,10,10,Nabiswera,2021-03-27
